variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
nuts about granola llc,nuts about granola,geo_suffix,5,1,medium,,suffix removed: 'llc'
nutty naturals holdings,nutty naturals,geo_suffix,5,2,medium,,suffix removed: 'holdings'
real and earthful llc,real and earthful,geo_suffix,5,1,medium,,suffix removed: 'llc'
saratoga chips llc,saratoga chips,geo_suffix,5,3,medium,,suffix removed: 'llc'
superior nut company,superior nut,geo_suffix,5,1,medium,,suffix removed: 'company'
sweet'tauk llc,sweet'tauk,geo_suffix,5,1,medium,,suffix removed: 'llc'
two rivers coffee llc,two rivers coffee,geo_suffix,5,2,medium,,suffix removed: 'llc'
vintage italia llc,vintage italia,geo_suffix,5,2,medium,,suffix removed: 'llc'
american importing co,american importing,geo_suffix,4,1,medium,,suffix removed: 'co'
american importing company,american importing,geo_suffix,4,1,medium,,suffix removed: 'company'
anderson dairy inc,anderson dairy,geo_suffix,4,1,medium,,suffix removed: 'inc'
bai brands llc,bai brands,geo_suffix,4,1,medium,,suffix removed: 'llc'
dutch maid bakery inc,dutch maid bakery,geo_suffix,4,1,medium,,suffix removed: 'inc'
elevation brands llc,elevation brands,geo_suffix,4,1,medium,,suffix removed: 'llc'
franklin & sons ltd,franklin & sons,geo_suffix,4,1,medium,,suffix removed: 'ltd'
garden of flavor llc,garden of flavor,geo_suffix,4,3,medium,,suffix removed: 'llc'
jim's cheese llc,jim's cheese,geo_suffix,4,1,medium,,suffix removed: 'llc'
nut house llc,nut house,geo_suffix,4,1,medium,,suffix removed: 'llc'
panera llc,panera,geo_suffix,4,3,medium,,suffix removed: 'llc'
praim group,praim,geo_suffix,4,1,medium,,suffix removed: 'group'
sos hydration inc,sos hydration,geo_suffix,4,2,medium,,suffix removed: 'inc'
speedway llc,speedway,geo_suffix,4,2,medium,,suffix removed: 'llc'
talking rain beverage co. inc,talking rain beverage co.,geo_suffix,4,1,medium,,suffix removed: 'inc'
true tea co,true tea,geo_suffix,4,1,medium,,suffix removed: 'co'
vivra llc,vivra,geo_suffix,4,1,medium,,suffix removed: 'llc'
willapa hills cheese llc,willapa hills cheese,geo_suffix,4,1,medium,,suffix removed: 'llc'
b'life llc,b'life,geo_suffix,3,1,medium,,suffix removed: 'llc'
blue mountain organics llc,blue mountain organics,geo_suffix,3,1,medium,,suffix removed: 'llc'
bowman andros products llc,bowman andros products,geo_suffix,3,1,medium,,suffix removed: 'llc'
boylan bottling co,boylan bottling,geo_suffix,3,1,medium,,suffix removed: 'co'
chattanooga bakery inc,chattanooga bakery,geo_suffix,3,2,medium,,suffix removed: 'inc'
choice foods llc,choice foods,geo_suffix,3,2,medium,,suffix removed: 'llc'
divvies llc,divvies,geo_suffix,3,1,medium,,suffix removed: 'llc'
dust cutter beverage co,dust cutter beverage,geo_suffix,3,1,medium,,suffix removed: 'co'
ethel's edibles llc,ethel's edibles,geo_suffix,3,1,medium,,suffix removed: 'llc'
funley's delicious llc,funley's delicious,geo_suffix,3,1,medium,,suffix removed: 'llc'
gimme health foods llc,gimme health foods,geo_suffix,3,1,medium,,suffix removed: 'llc'
goldthread llc,goldthread,geo_suffix,3,1,medium,,suffix removed: 'llc'
hayden flour mills llc,hayden flour mills,geo_suffix,3,1,medium,,suffix removed: 'llc'
hola nola foods llc,hola nola foods,geo_suffix,3,2,medium,,suffix removed: 'llc'
hu products llc,hu products,geo_suffix,3,2,medium,,suffix removed: 'llc'
kellog company,kellog,geo_suffix,3,2,medium,,suffix removed: 'company'
lyrical foods inc,lyrical foods,geo_suffix,3,1,medium,,suffix removed: 'inc'
milton's baking company llc,milton's baking company,geo_suffix,3,1,medium,,suffix removed: 'llc'
outrageous baking company,outrageous baking,geo_suffix,3,1,medium,,suffix removed: 'company'
pearl milling company,pearl milling,geo_suffix,3,1,medium,,suffix removed: 'company'
quality products llc,quality products,geo_suffix,3,1,medium,,suffix removed: 'llc'
shasha co,shasha,geo_suffix,3,2,medium,,suffix removed: 'co'
stamford street co,stamford street,geo_suffix,3,1,medium,,suffix removed: 'co'
stone & skillet llc,stone & skillet,geo_suffix,3,2,medium,,suffix removed: 'llc'
sucre llc,sucre,geo_suffix,3,2,medium,,suffix removed: 'llc'
sweet shop usa,sweet shop,geo_suffix,3,2,medium,,suffix removed: 'usa'
tender grown foods llc,tender grown foods,geo_suffix,3,1,medium,,suffix removed: 'llc'
tova industries llc,tova industries,geo_suffix,3,1,medium,,suffix removed: 'llc'
united dairy farmers inc,united dairy farmers,geo_suffix,3,2,medium,,suffix removed: 'inc'
wholesome goodness llc,wholesome goodness,geo_suffix,3,1,medium,,suffix removed: 'llc'
wide awake coffee co,wide awake coffee,geo_suffix,3,2,medium,,suffix removed: 'co'
williams cheese company,williams cheese,geo_suffix,3,1,medium,,suffix removed: 'company'
zero france,zero,geo_suffix,3,2,medium,,suffix removed: 'france'
ab-inbev france,ab-inbev,geo_suffix,2,1,medium,,suffix removed: 'france'
alb-gold teigwaren gmbh,alb-gold teigwaren,geo_suffix,2,1,medium,,suffix removed: 'gmbh'
beehive bread & pastry co,beehive bread & pastry,geo_suffix,2,1,medium,,suffix removed: 'co'
bella gluten-free llc,bella gluten-free,geo_suffix,2,1,medium,,suffix removed: 'llc'
better living brands llc,better living brands,geo_suffix,2,1,medium,,suffix removed: 'llc'
body armor nutrition llc,body armor nutrition,geo_suffix,2,1,medium,,suffix removed: 'llc'
bonta' lucane srl,bonta' lucane,geo_suffix,2,1,medium,,suffix removed: 'srl'
cisse cocoa co,cisse cocoa,geo_suffix,2,1,medium,,suffix removed: 'co'
dolgen corp,dolgen,geo_suffix,2,1,medium,,suffix removed: 'corp'
grand suisse,grand,geo_suffix,2,1,medium,,suffix removed: 'suisse'
green bee llc,green bee,geo_suffix,2,1,medium,,suffix removed: 'llc'
hampton candy company,hampton candy,geo_suffix,2,1,medium,,suffix removed: 'company'
honolulu cookie company,honolulu cookie,geo_suffix,2,1,medium,,suffix removed: 'company'
jessie lord bakery llc,jessie lord bakery,geo_suffix,2,1,medium,,suffix removed: 'llc'
katy's llc,katy's,geo_suffix,2,1,medium,,suffix removed: 'llc'
lori's original lemonade llc,lori's original lemonade,geo_suffix,2,1,medium,,suffix removed: 'llc'
malk organics llc,malk organics,geo_suffix,2,1,medium,,suffix removed: 'llc'
pasteurizadora rica s.a.,pasteurizadora rica,geo_suffix,2,1,medium,,suffix removed: 's.a.'
perrigo company,perrigo,geo_suffix,2,1,medium,,suffix removed: 'company'
r.m. palmer company,r.m. palmer,geo_suffix,2,1,medium,,suffix removed: 'company'
rich products corp,rich products,geo_suffix,2,1,medium,,suffix removed: 'corp'
sweet megan llc,sweet megan,geo_suffix,2,1,medium,,suffix removed: 'llc'
the london essence co,the london essence,geo_suffix,2,1,medium,,suffix removed: 'co'
trickling springs creamery llc,trickling springs creamery,geo_suffix,2,1,medium,,suffix removed: 'llc'
vedic mix inc,vedic mix,geo_suffix,2,1,medium,,suffix removed: 'inc'
wild oats foods llc,wild oats foods,geo_suffix,2,1,medium,,suffix removed: 'llc'
coca cola,coca-cola,punctuation,18,843,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coca-cola company,coca-cola,geo_suffix,29,843,high,manual_review,suffix: company
coca cola company,coca-cola,punctuation,7,843,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
coca-cola-light,coca-cola,prefix,9,843,high,confirm,sub-brand
coca cola zero,coca-cola,prefix,10,843,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
cocacola,coca-cola,punctuation,5,843,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kelloggs,kellogg's,punctuation,71,1367,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kellogs,kellogg's,punctuation,37,1367,high,confirm,typo
kellogg,kellogg's,punctuation,20,1367,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kellog's,kellogg's,punctuation,16,1367,high,confirm,typo
kellog company,kellogg's,geo_suffix,3,1367,high,confirm,suffix: company
kellog,kellogg's,punctuation,2,1367,high,confirm,typo
kellog sales cokellog's,kellogg's,punctuation,1,1367,high,confirm,garbled entry
kellog\'s,kellogg's,punctuation,1,1367,high,confirm,escaped apostrophe
kellogg s,kellogg's,punctuation,1,1367,high,confirm,missing apostrophe
kellogg sales co,kellogg's,geo_suffix,1,1367,high,confirm,suffix: sales co
kellogg uk,kellogg's,geo_suffix,1,1367,high,confirm,suffix: uk
Lay’s,Lay’s,top9_prefix_orphan_review,867,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Reese's,Reese's,top9_prefix_orphan_review,212,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Fitness,Fitness,top9_prefix_orphan_review,59,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Blédina,Blédina,top9_prefix_orphan_review,44,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Chips Ahoy!,Chips Ahoy!,top9_prefix_orphan_review,43,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
pepsico,Pepsi,top9_prefix_orphan_review,34,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
wylers light,Wyler's,top9_prefix_orphan_review,24,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Hépar,Hépar,top9_prefix_orphan_review,15,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Mövenpick,Mövenpick,top9_prefix_orphan_review,14,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
pepsi cola,Pepsi,top9_prefix_orphan_review,11,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
Dr Pepper,Dr Pepper,top9_prefix_orphan_review,9,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
alprose,Alpro,top9_prefix_orphan_review,8,,reviewed,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.
munchies,Munch,top9_prefix_orphan_review,8,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
Cheerios,Cheerios,top9_prefix_orphan_review,7,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
booster,Boost,top9_prefix_orphan_review,7,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
cadburys,Cadbury,top9_prefix_orphan_review,7,,reviewed,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.
cliff bar,Clif,top9_prefix_orphan_review,6,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
munchos,Munch,top9_prefix_orphan_review,6,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
7UP,7UP,top9_prefix_orphan_review,6,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Schweppes,Schweppes,top9_prefix_orphan_review,6,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
pepsico inc,Pepsi,top9_prefix_orphan_review,6,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
munchee,Munch,top9_prefix_orphan_review,5,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
milos tea company inc,Milo,top9_prefix_orphan_review,5,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
Nestlé Pure Life,Nestlé Pure Life,top9_prefix_orphan_review,5,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
cliff,Clif,top9_prefix_orphan_review,4,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
la vie en herbes,La Vie,top9_prefix_orphan_review,4,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
munch bunch,Munch,top9_prefix_orphan_review,4,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
Wyler's,Wyler's,top9_prefix_orphan_review,3,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
fitnessboutique,Fitness,top9_prefix_orphan_review,3,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Hellmann's,Hellmann's,top9_prefix_orphan_review,2,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
boost ball,Boost,top9_prefix_orphan_review,2,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
Cow & Gate,Cow & Gate,top9_prefix_orphan_review,2,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
quaker oats so simple,Quaker Oats,top9_prefix_orphan_review,2,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
triscuits,Triscuit,top9_prefix_orphan_review,2,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
diet coke plus,Diet Coke,top9_prefix_orphan_review,2,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
danonedanette,Danone,top9_prefix_orphan_review,2,,reviewed,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.
maggie lyon,Maggi,top9_prefix_orphan_review,2,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
caprisun electrolytes,Capri Sun,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
coca cola hbc romania,Coca-Cola,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
aeroshot,Aero,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
Stouffer's,Stouffer's,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
boost energy,Boost,top9_prefix_orphan_review,1,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
Extrême,Extrême,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
carnation breakfast essentials,Carnation,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
cliff bar and company,Clif,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
cocacola company,Coca-Cola,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
gerber biscuits,Gerber,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
gerber graduates,Gerber,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
garden of life inc,Garden of Life,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
fitness boutique,Fitness,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
fitness and health,Fitness,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
fritos lay,Fritos,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
essentia water inc,Essentia,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
essentia hydroboost,Essentia,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
munchy seeds,Munch,top9_prefix_orphan_review,1,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
munchkin milkmakers,Munch,top9_prefix_orphan_review,1,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
munchkin,Munch,top9_prefix_orphan_review,1,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
munchkin milk makers,Munch,top9_prefix_orphan_review,1,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
movenpick of switzerland,Mövenpick,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
milorando,Milo,top9_prefix_orphan_review,1,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
milola,Milo,top9_prefix_orphan_review,1,,,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.; reviewed product-level evidence required.
monster energy drink,Monster Energy,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
monster energy limited,Monster Energy,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
monster energy monster,Monster Energy,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
mikado and go,Mikado,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
mikova,Miko,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
milkamondelez,Milka,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
nutricia multi fibre 1 0 kcal,Nutricia,top9_prefix_orphan_review,1,,reviewed,manual_review,Manually reviewed Top 9 brand-prefix orphan cleanup.
oreos thins,Oreo,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
oreos,Oreo,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
pepsico france,Pepsi,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
pepsi cola jamaica bottling company,Pepsi,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
nesquiknestle,Nesquik,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
s pellegrino essenza,S.Pellegrino,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
schweppesorangina schweppes,Schweppes,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
ritzz,Ritz,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
swedish fish brand,Swedish Fish,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
triscuit minis,Triscuit,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
tropicoco,Tropico,top9_prefix_orphan_review,1,,reviewed,confirm,Manually reviewed Top 9 brand-prefix orphan cleanup.
auchan,Auchan,reviewed_auchan_private_label,3862,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: 1/2 palette demi-sel
croissant auchan,Auchan,reviewed_auchan_private_label,1,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Croissant à la margarine AL tournes il × 4
le boulanger auchan,Le Boulanger Auchan,reviewed_auchan_private_label,1,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Navettes marseillaises
mieux vivre auchan,Mieux Vivre,reviewed_auchan_private_label,1,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Gaufrettes
patissier auchan,Le Pâtissier Auchan,reviewed_auchan_private_label,1,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Paris Brest
pierre chanau auchan,Pierre Chanau,reviewed_auchan_private_label,1,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: vin saumur champigny
discount auchan,Fromage de chèvre de Bellay,reviewed_retailer_context_false_positive,1,,high,confirm,reviewed Auchan France false-positive retailer context; do not map to Auchan; example: Fromage de chèvre de Bellay
filiere responsable auchan,La Juste Chips,reviewed_retailer_context_false_positive,1,,high,confirm,reviewed Auchan France false-positive retailer context; do not map to Auchan; example: La juste chips
addict sport nutrition,Addict Sport Nutrition,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
antoine barrier,Antoine Barrier,reviewed_eleclerc_private_label,4,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
beet it sport,Beet It Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
bio village,Bio Village,reviewed_eleclerc_private_label,579,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
chaque jour sans gluten,Chaque Jour Sans Gluten,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
confiseo,Confiseo,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
copains copines,Copains Copines,reviewed_eleclerc_private_label,3,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
cote snack,Côte Snack,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
couleurs vives,Couleurs Vives,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
deli sport,Deli Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
delisse,Délisse,reviewed_eleclerc_private_label,454,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
desquiles,Desquiles,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
douceur du verger,Douceur du Verger,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
eco+,Eco+,reviewed_eleclerc_private_label,354,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
enervit sport,Enervit Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
epi dor,Épi d'Or,reviewed_eleclerc_private_label,5,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
equador,Equador,reviewed_eleclerc_private_label,12,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
equador marque repere,Equador,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
falsbourg,Falsbourg,reviewed_eleclerc_private_label,3,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
fenioux multi sport,Fenioux Multi Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
festalie,Festalie,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
fresh tea,Fresh Tea,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
frucci,Frucci,reviewed_eleclerc_private_label,2,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
go sport,Go Sport,reviewed_retailer_candidate_false_positive,9,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
grainea,Grainéa,reviewed_eleclerc_private_label,11,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
heroic sport,Heroic Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
heroicheroic sport,Heroic Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
jafaden,Jafaden,reviewed_eleclerc_private_label,35,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
jafaden marque repere,Jafaden,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
jafaden marque repere leclerc,Jafaden,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
jafun,Jafun,reviewed_eleclerc_private_label,2,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
la plantation victoria,La Plantation Victoria,reviewed_retailer_candidate_false_positive,8,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
lagoa,Lagoa,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
les croises,Les Croisés,reviewed_eleclerc_private_label,85,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
lorigine du gout,L'Origine du Goût,reviewed_eleclerc_private_label,14,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
lucozade sport,Lucozade Sport,reviewed_retailer_candidate_false_positive,4,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
marque repere,Marque Repère,reviewed_eleclerc_private_label,1730,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
milk 2 go sport,Milk 2 Go Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
nos regions ont du talent,Nos Régions ont du Talent,reviewed_eleclerc_private_label,233,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
novotna,Novotna,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
nutrisens sport,Nutrisens Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
olimp sport nutrition,Olimp Sport Nutrition,reviewed_retailer_candidate_false_positive,2,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
ovo sport,Ovo Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
plantation,Plantation,reviewed_eleclerc_private_label,9,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
plantation marque repere,Plantation,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
